"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"10420
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/TH","(20)
Face to Face","GORAI, Asuka",1/3
"10421
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
4/M","(20)
Face to Face","KASAI, Hiromi",1/3
"10422
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/W","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10423
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/TU","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10424
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
4/TH","(20)
Face to Face","GORAI, Asuka",1/3
"10425
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/TU","(20)
Face to Face","GORAI, Asuka",1/3
"10426
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/F","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10427
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/W","(20)
Face to Face","HASEGAWA, Ken",1/3
"10428
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/W","(20)
Face to Face","GORAI, Asuka",1/3
"10429
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/TU","(20)
Face to Face","SATO, Kaori",1/3
"10430
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/TH","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10431
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/M","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10432
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/F","(20)
Face to Face","HASEGAWA, Ken",1/3
"10433
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
4/M","(20)
Face to Face","HASEGAWA, Ken",1/3
"10434
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/TU","(20)
Face to Face","SATO, Kaori",1/3
"10435
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
4/F","(20)
Face to Face","SATO, Kaori",1/3
"10436
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/M","(20)
Face to Face","HASEGAWA, Ken",1/3
"10437
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/W","(20)
Face to Face","SATO, Kaori",1/3
"10438
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/TH","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10439
Spring
2026",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/W","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10440
Spring
2026",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/W","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10441
Spring
2026",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/F","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10442
Spring
2026",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/TH","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10443
Spring
2026",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/TH","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10444
Spring
2026",HPE010,,C,"Team Sports I SOFTBALL
ティームスポーツ I
3/M","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10445
Spring
2026",HPE010,,C,"Team Sports I FUTSAL
ティームスポーツ I
5/M","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10446
Spring
2026",HPE010,,C,"Team Sports I ULTIMATE FLYING DISC
ティームスポーツ I
5/M","(20)
Face to Face","HONDA, Masakazu",1/3
"10447
Spring
2026",HPE010,,C,"Team Sports I DISC GOLF
ティームスポーツ I
4/M","(20)
Face to Face","HONDA, Masakazu",1/3
"10448
Spring
2026",HPE010,,C,"Team Sports I OUTDOOR TEAM SPORTS
ティームスポーツ I
5/TU","(20)
Face to Face","GORAI, Asuka",1/3
"10449
Spring
2026",HPE011,,C,"Team Sports II BASKETBALL
ティームスポーツ II
3/W","(20)
Face to Face","HASEGAWA, Ken",1/3
"10450
Spring
2026",HPE012,,C,"Beginning Dual Sports TENNIS
初級対人スポーツ
2/F","(20)
Face to Face","OKADA, Mitsuhiro",1/3
"10451
Spring
2026",HPE012,,C,"Beginning Dual Sports TENNIS
初級対人スポーツ
3/F","(20)
Face to Face","OKADA, Mitsuhiro",1/3
"10452
Spring
2026",HPE012,,C,"Beginning Dual Sports BADMINTON
初級対人スポーツ
4/F","(20)
Face to Face","GORAI, Asuka",1/3
"10453
Spring
2026",HPE012,,C,"Beginning Dual Sports BADMINTON
初級対人スポーツ
5/F","(20)
Face to Face","GORAI, Asuka",1/3
"10454
Spring
2026",HPE014,,C,"Beginning Individual Sports GOLF
初級個人スポーツ
3/F","(20)
Face to Face","HASHIGUCHI, Takeo",1/3
"10455
Spring
2026",HPE014,,C,"Beginning Individual Sports GOLF
初級個人スポーツ
2/F","(20)
Face to Face","HASHIGUCHI, Takeo",1/3
"10456
Spring
2026",HPE014,,C,"Beginning Individual Sports ARCHERY
初級個人スポーツ
2/M","(20)
Face to Face","OKA, Yoshiro",1/3
"10457
Spring
2026",HPE014,,C,"Beginning Individual Sports ARCHERY
初級個人スポーツ
3/M","(20)
Face to Face","OKA, Yoshiro",1/3
"10458
Spring
2026",HPE014,,C,"Beginning Individual Sports BEGINNER'S SWIMMING
初級個人スポーツ
3/F","(20)
Face to Face","SATO, Kaori",1/3
"10459
Spring
2026",HPE016,,C,"Beginning Self Testing Activities YOGA FOR STUDENT
初級個人試技活動
3/TH","(20)
Face to Face","HIRATA, Tomoko",1/3
"10460
Spring
2026",HPE016,,C,"Beginning Self Testing Activities RELAXATION YOGA
初級個人試技活動
2/TH","(20)
Face to Face","HIRATA, Tomoko",1/3
"10461
Spring
2026
[change]
2026/02/17",HPE016,,C,"Beginning Self Testing Activities ROPE CLIMBING
初級個人試技活動
4/M","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10462
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance NIPPON MINZOKU BUYO
初級リズムダンス
3/F","(20)
Face to Face","YOSHINO, Yufuko",1/3
"10463
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance NIPPON MINZOKU BUYO
初級リズムダンス
2/F","(20)
Face to Face","YOSHINO, Yufuko",1/3
"10464
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance SOCIAL DANCE
初級リズムダンス
2/TU","(20)
Face to Face","KAMATSUKA, Masanori",1/3
"10465
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance SOCIAL DANCE
初級リズムダンス
3/TU","(20)
Face to Face","KAMATSUKA, Masanori",1/3
"10466
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance CREATIVE WADAIKO
初級リズムダンス
3/TU","(20)
Face to Face","SENDA, Tetsushi",1/3
"10467
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance TRADITIONAL WADAIKO
初級リズムダンス
2/TU","(20)
Face to Face","SENDA, Tetsushi",1/3
"10468
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance HIP HOP
初級リズムダンス
2/W","(20)
Face to Face","KASAI, Hiromi",1/3
"10469
Spring
2026",HPE021,,C,"Beginning Rhythms and Dance JAZZ DANCE
初級リズムダンス
3/W","(20)
Face to Face","KASAI, Hiromi",1/3
"10470
Spring
2026",HPE023,,C,"Organized Games and Crafts RECREATION SPORTS
ゲームとクラフト
3/F","(20)
Face to Face","HASEGAWA, Ken",1/3
"10471
Spring
2026
[change]
2026/02/02",HPE024,,C,"Adapted Physical Education ADAPTED P.E.
アダプテッド体育",Face to Face,"YAMAUCHI, Hiroshi/HIGASHIYAMA, Masao/SATO, Kaori/HASEGAWA, Ken/GORAI, Asuka",1/3
"10501
Spring
2026",WAB101,O,,"Arabic I
アラビア語 I
5/W,6/W,7/W,5/F,6/F,7/F
H-375","(25)
Face to Face","KINOSHITA, Sotoku/ABUSINNA, Neama Emam Mohamed",4
"10502
Spring
2026
[change]
2026/04/02",WCN101,O,A,"Chinese I
中国語 I
5/M,6/M,7/M,5/TH,6/TH,7/TH
I-104","(25)
Face to Face","KAWASHIMA, Mai/ZHAN, Haiyan",4
"10503
Spring
2026
[change]
2026/04/02",WCN101,O,B,"Chinese I
中国語 I
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
I-103","(25)
Face to Face","ZHAN, Haiyan/SAWADA, Narimi",4
"10504
Spring
2026
[change]
2026/04/02",WCN101,O,C,"Chinese I
中国語 I
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
I-102,I-104","(25)
Face to Face","QI, Hong/SHI, Huimei",4
"10505
Spring
2026
[change]
2026/04/02",WCN101,O,D,"Chinese I
中国語 I
5/TU,6/TU,7/TU,5/TH,6/TH,7/TH
I-102,I-104","(25)
Face to Face","QI, Hong/KAWASHIMA, Mai",4
"10506
Spring
2026
[change]
2026/04/01",WCN201,O,,"Advanced Chinese I
上級中国語 I
1/TH,2/TH,3/TH
I-104","(25)
Face to Face","QI, Hong",3
"10507
Spring
2026",WFR101,O,A,"French I
フランス語 I
*4/W,*5/W,*4/F,*5/F
H-351","(25)
Face to Face","DAIZEN, Mariko/BELEC, Cedric",4
"10508
Spring
2026",WFR101,O,B,"French I
フランス語 I
*4/M,*5/M,*4/TH,*5/TH
H-307","(25)
Face to Face","BUREAU, Xavier/BELEC, Cedric",4
"10509
Spring
2026",WFR101,O,C,"French I
フランス語 I
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
H-105","(25)
Face to Face","DAIZEN, Mariko/PIRIOU, Vincent N.",4
"10510
Spring
2026",WFR101,O,D,"French I
フランス語 I
5/M,6/M,7/M,5/TH,6/TH,7/TH
H-351","(25)
Face to Face","SHIRAISHI, Yoshiharu/BUREAU, Xavier",4
"10511
Spring
2026",WFR202,O,A,"Advanced French I
上級フランス語I
5/W,6/W,7/W
H-105","(25)
Face to Face","BELEC, Cedric",3
"10512
Spring
2026",WFR202,O,B,"Advanced French I
上級フランス語I
5/F,6/F,7/F
H-105","(25)
Face to Face","DONATI, Jean-Alexis",3
"10513
Spring
2026",WGR101,O,A,"German I
ドイツ語 I
5/TU,6/TU,7/TU,5/TH,6/TH,7/TH
H-354","(25)
Face to Face","ENDO, Kosuke/BARTSCH, Josua",4
"10514
Spring
2026",WGR101,O,B,"German I
ドイツ語 I
5/W,6/W,7/W,5/F,6/F,7/F
H-352","(25)
Face to Face","ENDO, Kosuke/BACKHAUS, Peter",4
"10515
Spring
2026",WGR201,O,,"Advanced German I
上級ドイツ語 I
5/W,6/W,7/W
H-358","(25)
Face to Face","BARTSCH, Josua",3
"10516
Spring
2026",WIT101,O,,"Italian I
イタリア語 I
5/W,6/W,7/W,5/F,6/F,7/F
H-354","(25)
Face to Face","NAKAYA, Shinko/BUCCI, Concettina",4
"10517
Spring
2026",WKR101,O,A,"Korean I
韓国語 I
*4/M,*5/M,*4/TH,*5/TH
H-352","(25)
Face to Face","HANDO, Chizuko/OHE, Hye-Gyeong",4
"10518
Spring
2026
[change]
2026/01/29",WKR101,O,B,"Korean I
韓国語 I
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
H-103","(25)
Face to Face","KIM, HYUNSHIN/HANDO, Chizuko",4
"10519
Spring
2026
[change]
2026/01/29",WKR101,O,C,"Korean I
韓国語 I
5/TU,6/TU,7/TU,5/TH,6/TH,7/TH
H-355","(25)
Face to Face","KIM, Myeong-Hee",4
"10520
Spring
2026",WKR101,O,D,"Korean I
韓国語 I
*4/W,*5/W,*4/F,*5/F
H-355","(25)
Face to Face","KIM, Sung Eun/OHE, Hye-Gyeong",4
"10521
Spring
2026",WKR201,O,,"Advanced Korean I
上級韓国語 I
5/W,6/W,7/W
H-108","(25)
Face to Face","OHE, Hye-Gyeong",3
"10522
Spring
2026",WRU101,O,,"Russian I
ロシア語 I
5/M,6/M,7/M,5/TH,6/TH,7/TH
H-356","(25)
Face to Face","FUKASAWA, Yoko/GOTO, Ksenia",4
"10523
Spring
2026",WSP101,O,A,"Spanish I
スペイン語 I
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
H-356","(25)
Face to Face","NASU, Madori/ALCANIZ BUCETA, Vicente",4
"10524
Spring
2026",WSP101,O,B,"Spanish I
スペイン語 I
*4/M,*5/M,*4/TH,*5/TH
H-357","(25)
Face to Face","ROQUE DE HISHIYAMA, Adiene Susej/NASU, Madori",4
"10525
Spring
2026",WSP101,O,C,"Spanish I
スペイン語 I
*4/W,*5/W,*4/F,*5/F
H-356","(25)
Face to Face","CUBILLOS QUEZADA, Francisca Andrea/VEGA GONZALEZ, Arturo",4
